股票代码,日期,开盘,收盘,涨幅,涨跌,最低,最高,成交量(手),成交额(千元),换手率
600123.SH,2020/2/28,5.7,5.57,-4.1308,-0.24,5.56,5.72,148223,83492.5,1.2975
600123.SH,20200227,5.8,5.81,-0.1718,-0.01,5.79,5.87,106766,62077.6,0.9346
600123.SH,20200226,5.68,5.82,1.3937,0.08,5.66,5.93,191865,111732,1.6795
600123.SH,20200225,5.77,5.74,-2.0478,-0.12,5.62,5.8,151582,87011,1.3269
600123.SH,20200224,5.85,5.86,-0.1704,-0.01,5.8,5.88,123603,72197.4,1.082
600123.SH,20200221,5.85,5.87,-0.3396,-0.02,5.85,5.93,132693,78002.8,1.1615
600123.SH,20200220,5.79,5.89,1.9031,0.11,5.77,5.9,133025,77621.6,1.1644
600123.SH,20200219,5.84,5.78,-0.6873,-0.04,5.77,5.85,97227,56450.2,0.8511
600123.SH,20200218,5.84,5.82,-0.1715,-0.01,5.78,5.86,103607,60263.9,0.9069
600123.SH,20200217,5.7,5.83,2.2807,0.13,5.7,5.83,117375,67741.2,1.0274
600123.SH,20200214,5.67,5.7,0.5291,0.03,5.66,5.73,67563.6,38484.6,0.5914
600123.SH,20200213,5.75,5.67,-1.2195,-0.07,5.66,5.78,95286.5,54388.4,0.8341
600123.SH,20200212,5.72,5.74,0.3497,0.02,5.68,5.74,94934.3,54235.5,0.831
600123.SH,20200211,5.72,5.72,0.3509,0.02,5.68,5.84,132383,76173.4,1.1588
600123.SH,20200210,5.56,5.7,1.7857,0.1,5.54,5.71,116953,65967.5,1.0237
600123.SH,20200207,5.63,5.6,-0.5329,-0.03,5.54,5.64,124384,69459.8,1.0888
600123.SH,20200206,5.54,5.63,1.8083,0.1,5.52,5.65,164985,92518.7,1.4442
600123.SH,20200205,5.48,5.53,0.9124,0.05,5.46,5.63,138181,76650.7,1.2096
600123.SH,20200204,5.39,5.48,0,0,5.39,5.53,152281,83253.2,1.333
600123.SH,20200203,5.48,5.48,-10.0164,-0.61,5.48,5.51,165189,90585.1,1.446
600123.SH,20200123,6.21,6.09,-2.56,-0.16,6.06,6.23,115812,71037.9,1.0138
600123.SH,20200122,6.25,6.25,-0.1597,-0.01,6.2,6.26,80325.2,50053.4,0.7031
600123.SH,20200121,6.32,6.26,-1.2618,-0.08,6.25,6.34,72620.1,45595.1,0.6357
600123.SH,20200120,6.32,6.34,0.158,0.01,6.29,6.36,63329,39993,0.5544
600123.SH,20200117,6.35,6.33,0,0,6.32,6.38,52574.6,33327,0.4602
600123.SH,20200116,6.38,6.33,-0.7837,-0.05,6.32,6.41,66900.1,42554.2,0.5856
600123.SH,20200115,6.45,6.38,-1.0853,-0.07,6.36,6.45,78073.6,49872.3,0.6834
600123.SH,20200114,6.47,6.45,-0.3091,-0.02,6.43,6.54,91511.7,59278.3,0.801
600123.SH,20200113,6.42,6.47,0.4658,0.03,6.38,6.48,74774.7,48052.8,0.6545
600123.SH,20200110,6.48,6.44,-0.4637,-0.03,6.41,6.48,68875.1,44362,0.6029
600123.SH,20200109,6.46,6.47,0.6221,0.04,6.44,6.5,82485.9,53319.2,0.722
600123.SH,20200108,6.54,6.43,-2.1309,-0.14,6.41,6.58,147940,96011.3,1.295
600123.SH,20200107,6.49,6.57,1.5456,0.1,6.47,6.65,210113,138301,1.8392
600123.SH,20200106,6.42,6.47,0.7788,0.05,6.4,6.51,155658,100639,1.3626
600123.SH,20200103,6.46,6.42,-0.3106,-0.02,6.4,6.46,114466,73608.6,1.002
600123.SH,20200102,6.45,6.44,0.3115,0.02,6.42,6.49,154265,99621.5,1.3504
